,"Population and dwelling counts (13)","Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Total private dwellings, 2021","Total private dwellings, 2016","Total private dwellings percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021","National population rank, 2021","Province/territory population rank, 2021"
"Wabaseemoong","IRI","815","827","-1.5","238","233","2.1","224","212","5.7","76.08","10.7","2,344","377"
"Wabauskang 21","IRI","57","70","-18.6","24","29","-17.2","20","26","-23.1","30.68","1.9","4,474","536"
"Wabigoon Lake 27","IRI","175","168","4.2","86","75","14.7","80","75","6.7","42.68","4.1","3,954","499"
"Wapekeka 2","IRI","456","440","3.6","135","127","6.3","117","110","6.4","27.20","16.8","3,031","434"
"Wawakapewin","IRI","16","22","-27.3","14","13","7.7","9","8","12.5","53.04","0.3","4,686","543"
"Weagamow Lake 87","IRI","921","886","4.0","240","266","-9.8","232","241","-3.7","89.84","10.3","2,218","373"
"Webequie","IRI","723","778","-7.1","171","165","3.6","166","154","7.8","320.35","2.3","2,482","394"
"Whitefish Bay 32A","IRI","610","575","6.1","211","191","10.5","186","174","6.9","18.36","33.2","2,697","407"
"Whitefish Bay 33A","IRI","94","96","-2.1","38","39","-2.6","33","34","-2.9","12.08","7.8","4,290","529"
"Whitefish Bay 34A","IRI","125","124","0.8","40","42","-4.8","35","37","-5.4","5.50","22.7","4,150","518"
"Wunnumin 1","IRI","587","593","-1.0","145","143","1.4","129","138","-6.5","64.00","9.2","2,737","410"
"Brooke-Alvinston","MU","2,359","2,411","-2.2","983","994","-1.1","918","947","-3.1","311.41","7.6","1,244","300"
"Dawn-Euphemia","TP","1,968","1,967","0.1","824","843","-2.3","766","767","-0.1","445.14","4.4","1,397","308"
"Enniskillen","TP","2,825","2,796","1.0","1,087","1,093","-0.5","1,041","1,056","-1.4","338.05","8.4","1,092","283"
"Kettle Point 44","IRI","1,233","1,011","22.0","775","765","1.3","512","427","19.9","9.32","132.3","1,866","338"
"Lambton Shores","MU","11,876","10,631","11.7","7,211","7,008","2.9","5,303","4,783","10.9","330.57","35.9","364","131"
"Oil Springs","VL","647","648","-0.2","283","285","-0.7","267","272","-1.8","8.14","79.5","2,626","403"
"Petrolia","T","6,013","5,742","4.7","2,524","2,323","8.7","2,460","2,277","8.0","12.46","482.6","648","216"
"Plympton-Wyoming","T","8,308","7,795","6.6","3,513","3,416","2.8","3,172","3,054","3.9","318.86","26.1","497","172"
"Point Edward","VL","1,930","2,037","-5.3","989","995","-0.6","938","958","-2.1","3.30","585.0","1,411","310"
"Sarnia","CY","72,047","71,594","0.6","33,902","33,324","1.7","32,188","31,937","0.8","163.90","439.6","83","36"
"Sarnia 45","IRI","648","639","1.4","278","274","1.5","262","255","2.7","12.58","51.5","2,621","402"
"St. Clair","TP","14,659","14,086","4.1","6,528","6,243","4.6","6,021","5,785","4.1","618.57","23.7","296","109"
"Walpole Island 46 3","IRI","..","1,589","..","..","782","..","..","610","..","137.43","..","..",".."
"Warwick","TP","3,641","3,692","-1.4","1,425","1,432","-0.5","1,357","1,353","0.3","290.21","12.5","911","260"
"Beckwith","TP","9,021","7,644","18.0","3,523","3,100","13.6","3,371","2,864","17.7","239.31","37.7","464","167"
"Carleton Place","T","12,517","10,644","17.6","5,341","4,403","21.3","5,210","4,278","21.8","9.94","1,259.4","345","126"
"Drummond/North Elmsley","TP","8,183","7,773","5.3","3,708","3,607","2.8","3,287","3,097","6.1","365.67","22.4","505","174"
"Lanark Highlands","TP","5,737","5,338","7.5","3,409","3,315","2.8","2,494","2,294","8.7","1,031.52","5.6","674","222"
"Mississippi Mills","T","14,740","13,163","12.0","6,241","5,536","12.7","6,043","5,292","14.2","511.25","28.8","295","108"
"Montague","TP","3,914","3,761","4.1","1,551","1,489","4.2","1,503","1,424","5.5","278.47","14.1","874","254"
"Perth","T","6,469","5,930","9.1","3,395","3,169","7.1","3,271","3,010","8.7","12.21","529.8","616","209"
"Smiths Falls","T","9,254","8,780","5.4","4,523","4,387","3.1","4,311","4,066","6.0","9.66","958.1","456","163"
"Tay Valley","TP","5,925","5,665","4.6","3,750","3,689","1.7","2,419","2,255","7.3","528.67","11.2","658","217"
"Athens 4","TP","3,042","3,018r","0.8","1,325","1,338r","-1.0","1,214","1,189r","2.1","129.54","23.5","1,034","275"
"Augusta","TP","7,386","7,353","0.4","3,046","3,004","1.4","2,952","2,909","1.5","313.77","23.5","561","197"
"Brockville 4","CY","22,116","21,569r","2.5","11,088","10,826r","2.4","10,647","10,266r","3.7","20.91","1,057.8","204","79"
"Edwardsburgh/Cardinal 4","TP","7,505","7,074r","6.1","3,285","3,099r","6.0","3,138","2,908r","7.9","309.91","24.2","545","191"
"Elizabethtown-Kitley 4","TP","9,545","9,631r","-0.9","4,029","3,988r","1.0","3,791","3,737r","1.4","555.96","17.2","444","157"
"Front of Yonge 4","TP","2,595","2,602r","-0.3","1,208","1,191r","1.4","1,073","1,055r","1.7","125.25","20.7","1,158","292"
"Gananoque","T","5,383","5,159","4.3","2,767","2,516","10.0","2,562","2,404","6.6","7.01","768.4","697","225"
"Leeds and the Thousand Islands","TP","9,804","9,465","3.6","5,040","4,903","2.8","3,994","3,861","3.4","608.09","16.1","437","153"
"Merrickville-Wolford","VL","3,135","3,067","2.2","1,392","1,344","3.6","1,290","1,232","4.7","214.33","14.6","1,011","272"
"North Grenville","MU","17,964","16,451","9.2","7,244","6,658","8.8","7,038","6,439","9.3","351.90","51.0","256","97"
"Prescott","T","4,078","4,222","-3.4","1,993","2,103","-5.2","1,889","2,016","-6.3","4.94","826.0","848","248"
"Rideau Lakes","TP","10,883","10,326","5.4","6,781","6,891","-1.6","4,696","4,423","6.2","711.81","15.3","401","142"
"Westport","VL","634","590","7.5","359","354","1.4","334","300","11.3","2.19","289.0","2,655","404"
"Addington Highlands 4","TP","2,534","2,318r","9.3","2,052","2,326r","-11.8","1,122","1,032r","8.7","1,293.99","2.0","1,182","297"
"Greater Napanee","T","16,879","15,892","6.2","7,461","7,206","3.5","6,868","6,580","4.4","462.30","36.5","271","102"
"Loyalist","TP","17,943","16,971","5.7","7,145","6,710","6.5","6,830","6,428","6.3","342.72","52.4","257","98"
"Stone Mills","TP","7,826","7,702","1.6","3,436","3,440","-0.1","3,071","3,011","2.0","693.71","11.3","527","180"
"Assiginack","TP","1,008","1,013","-0.5","710","730","-2.7","447","421","6.2","224.89","4.5","2,102","356"
"Billings","TP","753","603","24.9","675","731","-7.7","343","278","23.4","208.81","3.6","2,437","386"
"Burpee and Mills","TP","382","343","11.4","292","274","6.6","167","151","10.6","217.33","1.8","3,237","450"
"Central Manitoulin","MU","2,235","2,084","7.2","1,603","1,629","-1.6","1,050","955","9.9","427.61","5.2","1,287","303"
"Cockburn Island","TP","16","0","...","89","86","3.5","11","1","1,000.0","168.90","0.1","4,686","543"
"Gordon/Barrie Island","MU","613","490","25.1","621","523","18.7","294","223","31.8","263.44","2.3","2,690","406"
"Gore Bay","T","808","867","-6.8","421","447","-5.8","382","406","-5.9","5.14","157.2","2,357","378"
"M'Chigeeng 22","IRI","926","884","4.8","543","485","12.0","404","386","4.7","32.99","28.1","2,210","371"
"Manitoulin, Unorganized, West Part","NO","219","169","29.6","367","332","10.5","123","102","20.6","402.29","0.5","3,791","488"
"Northeastern Manitoulin and the Islands","MU","2,641","2,712","-2.6","1,903","2,313","-17.7","1,205","1,182","1.9","489.19","5.4","1,145","291"
"Sheguiandah 24","IRI","158","134","17.9","67","66","1.5","56","56","0.0","20.65","7.7","4,015","502"
"Sheshegwaning 20","IRI","127","137","-7.3","69","71","-2.8","59","64","-7.8","20.06","6.3","4,139","516"
"Sucker Creek 23","IRI","373","372","0.3","159","144","10.4","147","144","2.1","6.47","57.7","3,265","453"
"Tehkummah","TP","450","436","3.2","368","333","10.5","224","210","6.7","131.70","3.4","3,045","435"
"Whitefish River 4","IRI","457","456","0.2","270","256","5.5","180","176","2.3","39.73","11.5","3,029","433"
"Wikwemikong Unceded","IRI","2,728","2,500","9.1","1,130","1,096","3.1","1,038","972","6.8","409.04","6.7","1,124","286"
"Zhiibaahaasing 19A","IRI","41","55","-25.5","15","21","-28.6","14","21","-33.3","5.28","7.8","4,545","539"
"Adelaide-Metcalfe","TP","3,011","2,990","0.7","1,056","1,045","1.1","1,013","992","2.1","331.11","9.1","1,044","276"
"Chippewas of the Thames First Nation 42 3","IRI","..","..","..","..","..","..","..","..","..","42.49","..","..",".."
"London","CY","422,324","383,822","10.0","186,409","175,558","6.2","174,657","163,140","7.1","420.50","1,004.3","15","6"
"Lucan Biddulph","TP","5,680","4,700","20.9","2,172","1,837","18.2","2,115","1,785","18.5","169.08","33.6","680","223"
"Middlesex Centre","MU","18,928","17,262","9.7","6,845","6,139","11.5","6,695","5,983","11.9","588.16","32.2","243","92"
"Munsee-Delaware Nation 1","IRI","129","153","-15.7","64","65","-1.5","53","58","-8.6","11.19","11.5","4,133","514"
"Newbury","VL","440","466","-5.6","195","184","6.0","187","179","4.5","1.77","248.6","3,077","439"
"North Middlesex","MU","6,307","6,352","-0.7","2,481","2,399","3.4","2,391","2,336","2.4","598.65","10.5","624","211"
"Oneida 41 3","IRI","..","..","..","..","..","..","..","..","..","22.14","..","..",".."
"Southwest Middlesex","MU","5,893","5,723","3.0","2,503","2,505","-0.1","2,407","2,354","2.3","427.82","13.8","660","218"
"Strathroy-Caradoc","MU","23,871","20,867","14.4","9,695","8,455","14.7","9,453","8,294","14.0","270.86","88.1","185","72"
"Thames Centre","MU","13,980","13,191","6.0","5,316","5,162","3.0","5,186","4,924","5.3","433.99","32.2","311","113"
"Bracebridge","T","17,305","16,010","8.1","9,053","8,874","2.0","7,233","6,734","7.4","615.20","28.1","266","100"
"Georgian Bay 4","TP","3,441","2,514r","36.9","5,175","4,713r","9.8","1,660","1,137r","46.0","525.29","6.6","944","263"
"Gravenhurst","T","13,157","12,311","6.9","8,271","8,302","-0.4","5,496","5,014","9.6","489.11","26.9","332","121"
"Huntsville","T","21,147","19,816","6.7","11,214","10,524","6.6","8,817","8,111","8.7","705.18","30.0","215","86"
"Lake of Bays","TP","3,759","3,167","18.7","4,324","4,388","-1.5","1,760","1,455","21.0","667.43","5.6","901","259"
"Moose Point 79","IRI","213","208","2.4","80","76","5.3","76","72","5.6","3.14","67.9","3,819","490"
"Muskoka Lakes","TP","7,652","6,588","16.2","9,443","9,343","1.1","3,529","2,914","21.1","774.46","9.9","534","185"
"Wahta Mohawk Territory 3","IRI","..","..","..","..","..","..","..","..","..","59.66","..","..",".."
"Fort Erie","T","32,901","30,710","7.1","15,875","15,345","3.5","14,081","13,184","6.8","166.24","197.9","147","59"
"Grimsby","T","28,883","27,314","5.7","11,626","10,581","9.9","11,395","10,376","9.8","68.71","420.4","162","64"
"Lincoln","T","25,719","23,787","8.1","9,826","8,934","10.0","9,555","8,710","9.7","162.74","158.0","177","68"
"Niagara Falls","CY","94,415","88,071","7.2","39,778","37,265","6.7","37,793","35,773","5.6","210.25","449.1","63","30"
"Niagara-on-the-Lake","T","19,088","17,511","9.0","8,578","7,964","7.7","7,857","7,089","10.8","131.35","145.3","241","91"
"Pelham","T","18,192","17,110","6.3","7,123","6,596","8.0","6,959","6,469","7.6","126.35","144.0","251","95"
"Port Colborne","CY","20,033","18,306","9.4","10,219","9,825","4.0","8,710","8,018","8.6","121.99","164.2","226","89"
"St. Catharines","CY","136,803","133,113","2.8","61,977","59,879","3.5","58,903","56,873","3.6","96.20","1,422.1","42","20"
"Thorold","CY","23,816","18,801","26.7","9,856","8,498","16.0","9,095","7,466","21.8","83.29","285.9","187","73"
"Wainfleet","TP","6,887","6,372","8.1","3,116","2,977","4.7","2,615","2,413","8.4","217.53","31.7","590","206"
"Welland","CY","55,750","52,293","6.6","24,530","23,323","5.2","23,656","22,490","5.2","81.16","686.9","98","40"
"West Lincoln","TP","15,454","14,500","6.6","5,422","5,054","7.3","5,295","4,967","6.6","387.02","39.9","284","105"
"Bear Island 1","IRI","244","153","59.5","103","93","10.8","84","65","29.2","2.88","84.7","3,703","480"
"Bonfield 5","TP","2,146","1,990r","7.8","1,080","1,068r","1.1","889","825r","7.8","206.22","10.4","1,322","305"
"Calvin","MU","557","516","7.9","263","251","4.8","227","202","12.4","140.13","4.0","2,803","418"
"Chisholm","TP","1,312","1,291","1.6","614","623","-1.4","508","506","0.4","205.77","6.4","1,804","335"
"East Ferris 5","MU","4,946","4,862r","1.7","2,172","2,157r","0.7","1,890","1,826r","3.5","151.94","32.6","743","232"
"Mattawa","T","1,881","1,993","-5.6","929","979","-5.1","857","891","-3.8","3.67","513.1","1,429","312"
"Mattawan","TP","153","161","-5.0","102","104","-1.9","71","72","-1.4","200.12","0.8","4,044","508"
"Nipissing 10","IRI","1,640","1,593","3.0","773","758","2.0","705","664","6.2","60.87","26.9","1,572","317"
"Nipissing, Unorganized, North Part","NO","1,591","1,784","-10.8","955","996","-4.1","729","794","-8.2","3,721.20","0.4","1,601","319"
"Nipissing, Unorganized, South Part","NO","102","103","-1.0","337","273","23.4","46","38","21.1","6,711.51","0.0","4,244","525"
"North Bay","CY","52,662","51,553","2.2","25,077","24,799","1.1","23,467","22,614","3.8","315.53","166.9","100","42"
"Papineau-Cameron","TP","982","1,016","-3.3","495","514","-3.7","407","419","-2.9","564.23","1.7","2,130","359"
"South Algonquin","TP","1,055","1,096","-3.7","894","855","4.6","527","528","-0.2","867.73","1.2","2,048","351"
"Temagami","MU","862","802","7.5","928","806","15.1","432","375","15.2","1,878.12","0.5","2,293","376"
"West Nipissing / Nipissing Ouest","M","14,583","14,364","1.5","7,252","7,013","3.4","6,413","6,281","2.1","1,956.27","7.5","298","110"
"Alderville First Nation","IRI","542","495","9.5","282","266","6.0","252","226","11.5","12.59","43.0","2,837","420"
"Alnwick/Haldimand","TP","7,473","6,869","8.8","3,323","3,064","8.5","2,823","2,619","7.8","398.25","18.8","549","193"
"Brighton","MU","12,108","11,844","2.2","5,392","5,099","5.7","5,014","4,777","5.0","223.24","54.2","356","129"
"Cobourg","T","20,519","19,440","5.6","9,520","8,958","6.3","9,134","8,639","5.7","22.41","915.7","220","87"
"Cramahe","TP","6,509","6,355","2.4","2,772","2,780","-0.3","2,603","2,568","1.4","202.22","32.2","615","208"
"Hamilton","TP","11,059","10,942","1.1","4,685","4,677","0.2","4,281","4,276","0.1","256.03","43.2","393","139"
"Port Hope","MU","17,294","16,753","3.2","7,607","7,305","4.1","7,318","7,075","3.4","278.80","62.0","267","101"
"Trent Hills","MU","13,861","12,900","7.4","7,057","6,883","2.5","5,903","5,506","7.2","513.85","27.0","314","115"
"Ottawa","CV","1,017,449","934,243","8.9","427,113","395,985","7.9","407,252","373,756","9.0","2,788.20","364.9","4","2"
"Blandford-Blenheim","TP","7,565","7,399","2.2","2,857","2,817","1.4","2,779","2,728","1.9","382.03","19.8","540","189"
"East Zorra-Tavistock 4","TP","7,841","7,113r","10.2","3,055","2,769r","10.3","2,976","2,698r","10.3","241.96","32.4","526","179"
"Ingersoll","T","13,693","12,757","7.3","5,627","5,192","8.4","5,467","5,088","7.4","12.73","1,075.3","320","117"
"Norwich 4","TP","11,151","10,835r","2.9","3,892","3,766r","3.3","3,761","3,653r","3.0","424.01","26.3","387","136"
"South-West Oxford 4","TP","7,583","7,634r","-0.7","2,708","2,742r","-1.2","2,616","2,676r","-2.2","369.61","20.5","539","188"
"Tillsonburg","T","18,615","15,872","17.3","8,494","7,297","16.4","8,229","7,127","15.5","22.20","838.6","248","94"
"Woodstock 4","CY","46,705","41,098r","13.6","19,528","17,601r","10.9","18,886","17,221r","9.7","56.46","827.2","112","47"
"Zorra","TP","8,628","8,138","6.0","3,284","3,161","3.9","3,162","3,070","3.0","529.19","16.3","482","171"
"Armour","TP","1,459","1,414","3.2","1,087","1,080","0.6","667","610","9.3","163.52","8.9","1,692","328"
"Burk's Falls","VL","957","981","-2.4","523","510","2.5","465","467","-0.4","3.09","310.0","2,167","367"
"Callander","MU","3,964","3,863","2.6","1,758","1,710","2.8","1,636","1,576","3.8","102.98","38.5","862","251"
"Carling","TP","1,491","1,125","32.5","1,761","2,283","-22.9","697","499","39.7","244.32","6.1","1,670","326"
"Dokis 9","IRI","201","344","-41.6","145","157","-7.6","97","146","-33.6","150.19","1.3","3,863","492"
"French River 13","IRI","137","117","17.1","55","54","1.9","52","51","2.0","25.85","5.3","4,111","512"
"Henvey Inlet 2","IRI","15","5","200.0","7","8","-12.5","7","5","40.0","84.54","0.2","4,694","545"
"Joly","TP","293","304","-3.6","155","164","-5.5","127","135","-5.9","193.95","1.5","3,533","472"
"Kearney","T","974","882","10.4","1,195","1,155","3.5","460","410","12.2","528.21","1.8","2,140","363"
"Machar","TP","969","882","9.9","875","848","3.2","459","396","15.9","182.65","5.3","2,144","364"
"Magnetawan","MU","1,753","1,390","26.1","1,717","1,698","1.1","825","630","31.0","526.31","3.3","1,510","315"
"Magnetewan 1","IRI","102","101","1.0","52","37","40.5","45","35","28.6","44.41","2.3","4,244","525"
"McDougall","MU","2,744","2,702","1.6","1,673","1,521","10.0","1,154","1,100","4.9","264.02","10.4","1,114","285"
"McKellar","TP","1,419","1,111","27.7","1,515","1,520","-0.3","695","525","32.4","176.07","8.1","1,725","332"
"McMurrich/Monteith","TP","907","824","10.1","735","752","-2.3","410","386","6.2","275.26","3.3","2,234","374"
"Naiscoutaing 17A 4","IRI","0","0r","...","0","0r","...","0","0r","...","10.01","0.0","4,831","555"
"Nipissing","TP","1,769","1,707","3.6","1,012","1,051","-3.7","746","707","5.5","387.95","4.6","1,497","314"
"Parry Island First Nation","IRI","367","317","15.8","310","372","-16.7","135","126","7.1","71.31","5.1","3,292","456"
"Parry Sound","T","6,879","6,408","7.4","3,518","3,150","11.7","3,197","2,926","9.3","13.10","524.9","591","207"
"Parry Sound, Unorganized, Centre Part","NO","2,495","2,143","16.4","2,703","2,530","6.8","1,263","1,047","20.6","2,587.29","1.0","1,197","298"
"Parry Sound, Unorganized, North East Part","NO","179","187","-4.3","81","102","-20.6","73","82","-11.0","183.04","1.0","3,935","497"
"Perry","TP","2,650","2,454","8.0","1,710","1,676","2.0","1,144","1,041","9.9","186.34","14.2","1,142","289"
"Powassan","MU","3,346","3,455","-3.2","1,381","1,381","0.0","1,317","1,326","-0.7","223.26","15.0","959","266"
"Ryerson","TP","745","648","15.0","555","580","-4.3","344","302","13.9","185.93","4.0","2,447","389"
"Seguin","TP","5,280","4,304","22.7","4,827","4,744","1.7","2,136","1,821","17.3","586.99","9.0","707","226"
"Shawanaga 17","IRI","155","195","-20.5","79","93","-15.1","73","82","-11.0","32.25","4.8","4,033","505"
"South River","VL","1,101","1,114","-1.2","510","528","-3.4","482","490","-1.6","4.11","268.0","1,996","346"
"Strong","TP","1,566","1,439","8.8","953","922","3.4","660","612","7.8","158.88","9.9","1,624","321"
"Sundridge","VL","938","961","-2.4","458","497","-7.8","436","451","-3.3","2.25","417.7","2,195","370"
"The Archipelago","TP","979","531","84.4","2,863","2,693","6.3","497","251","98.0","592.14","1.7","2,133","360"
"Whitestone","MU","1,075","916","17.4","1,427","1,410","1.2","549","444","23.6","923.70","1.2","2,026","348"
"Brampton","CY","656,480","593,638","10.6","189,086","173,428","9.0","182,472","168,011","8.6","265.89","2,469.0","9","4"
"Caledon 4","T","76,581","66,502r","15.2","24,795","22,022r","12.6","23,699","21,257r","11.5","688.82","111.2","79","34"
"Mississauga","CY","717,961","721,599","-0.5","254,089","248,469","2.3","244,575","240,913","1.5","292.74","2,452.5","7","3"
"North Perth","MU","15,538","13,130","18.3","6,171","5,340","15.6","5,959","5,098","16.9","493.09","31.5","283","104"
"Perth East 4","TP","12,595","12,277r","2.6","4,266","4,084r","4.5","4,112","3,997r","2.9","711.93","17.7","342","124"
"Perth South 4","TP","3,776","3,805r","-0.8","1,454","1,430r","1.7","1,396","1,384r","0.9","391.88","9.6","897","258"
"St. Marys","T","7,386","7,265","1.7","3,216","3,094","3.9","3,128","3,026","3.4","12.44","593.8","561","197"
"Stratford 4","CY","33,232","31,470r","5.6","15,388","14,304r","7.6","14,743","13,849r","6.5","30.02","1,107.0","145","58"
"West Perth","MU","9,038","8,865","2.0","3,567","3,500","1.9","3,434","3,364","2.1","578.88","15.6","463","166"
"Asphodel-Norwood","TP","4,658","4,109","13.4","1,985","1,758","12.9","1,821","1,632","11.6","161.62","28.8","771","237"
"Cavan Monaghan","TP","10,016","8,829","13.4","3,704","3,271","13.2","3,553","3,187","11.5","306.39","32.7","429","151"
"Curve Lake First Nation 35","IRI","1,244","1,059","17.5","650","613","6.0","543","457","18.8","6.64","187.4","1,855","337"
"Douro-Dummer","TP","7,632","6,709","13.8","3,601","3,434","4.9","2,925","2,577","13.5","459.46","16.6","535","186"
"Havelock-Belmont-Methuen","TP","5,083","4,530","12.2","3,856","3,936","-2.0","2,234","2,015","10.9","529.35","9.6","722","228"
"Hiawatha First Nation","IRI","341","362","-5.8","210","211","-0.5","157","154","1.9","8.93","38.2","3,378","462"
"North Kawartha","TP","2,877","2,479","16.1","3,693","3,552","4.0","1,364","1,114","22.4","746.35","3.9","1,080","280"
"Otonabee-South Monaghan","TP","7,087","6,670","6.3","3,050","2,944","3.6","2,732","2,591","5.4","346.15","20.5","579","202"
"Peterborough","CY","83,651","81,032","3.2","38,006","36,785","3.3","35,977","34,710","3.7","64.76","1,291.8","72","32"
"Selwyn","TP","18,653","17,060","9.3","8,540","8,404","1.6","7,483","6,857","9.1","316.12","59.0","247","93"
"Trent Lakes","MU","6,439","5,397","19.3","5,750","5,643","1.9","2,952","2,449","20.5","833.72","7.7","617","210"
"Alfred and Plantagenet","TP","9,949","9,680","2.8","4,297","4,218","1.9","4,080","3,959","3.1","391.79","25.4","431","152"
"Casselman","VL","3,960","3,548","11.6","1,630","1,480","10.1","1,578","1,435","10.0","5.13","772.2","863","252"
"Champlain","TP","8,665","8,706","-0.5","3,964","3,910","1.4","3,750","3,700","1.4","207.02","41.9","480","170"
"Clarence-Rockland","C","26,505","24,512","8.1","10,316","9,537","8.2","10,095","9,329","8.2","297.47","89.1","173","67"
"East Hawkesbury","TP","3,418","3,296","3.7","1,507","1,482","1.7","1,425","1,372","3.9","235.06","14.5","948","265"
"Hawkesbury","T","10,194","10,263","-0.7","5,308","5,231","1.5","5,080","4,956","2.5","10.10","1,009.7","419","147"
"Russell","TP","19,598","16,520","18.6","7,335","6,008","22.1","7,226","5,873","23.0","198.78","98.6","233","90"
"The Nation / La Nation","M","13,350","12,808","4.2","5,259","4,917","7.0","5,104","4,765","7.1","658.93","20.3","327","119"
"Prince Edward County","CY","25,704","24,735","3.9","13,557","12,899","5.1","11,332","10,728","5.6","1,052.61","24.4","178","69"
"Agency 1","IRI","0","0","...","0","0","...","0","0","...","0.48","0.0","4,831","555"
"Alberton","TP","954","969","-1.5","355","366","-3.0","340","352","-3.4","116.60","8.2","2,173","368"
"Assabaska 4","IRI","0","0r","...","0","83r","-100.0","0","1r","-100.0","8.71","0.0","4,831","555"
"Atikokan","T","2,642","2,753","-4.0","1,464","1,477","-0.9","1,259","1,305","-3.5","313.64","8.4","1,144","290"
"Big Grassy River 35G","IRI","251","235","6.8","88","76","15.8","82","71","15.5","33.73","7.4","3,678","478"
"Big Island Mainland 93","IRI","5","10","-50.0","3","2","50.0","2","2","0.0","0.42","11.8","4,760","548"
"Chapple 4","TP","763","643r","18.7","332","318r","4.4","265","231r","14.7","558.15","1.4","2,420","383"
"Couchiching 16A","IRI","633","810","-21.9","252","268","-6.0","236","262","-9.9","65.47","9.7","2,656","405"
"Dawson","TP","399","468","-14.7","274","292","-6.2","190","206","-7.8","343.42","1.2","3,181","446"
"Emo","TP","1,204","1,333","-9.7","521","554","-6.0","472","517","-8.7","202.28","6.0","1,889","340"
"Fort Frances","T","7,466","7,739","-3.5","3,779","3,758","0.6","3,451","3,449","0.1","25.55","292.2","552","194"
"La Vallee","TP","788","938","-16.0","379","395","-4.1","319","363","-12.1","237.12","3.3","2,384","380"
"Lake of the Woods 4","TP","308","230r","33.9","454","438r","3.7","140","109r","28.4","746.24","0.4","3,484","468"
"Manitou Rapids 11","IRI","300","283","6.0","107","103","3.9","102","96","6.3","22.73","13.2","3,510","469"
"Morley","TP","493","481","2.5","235","232","1.3","186","178","4.5","388.38","1.3","2,954","430"
"Neguaguon Lake 25D","IRI","118","177","-33.3","56","76","-26.3","34","60","-43.3","62.70","1.9","4,181","522"
"Rainy Lake 17A","IRI","234","211","10.9","78","76","2.6","76","68","11.8","14.22","16.5","3,732","484"
"Rainy Lake 17B","IRI","5","5","0.0","2","2","0.0","2","2","0.0","9.81","0.5","4,760","548"
"Rainy Lake 18C","IRI","125","115","8.7","49","39","25.6","44","36","22.2","17.93","7.0","4,150","518"
"Rainy Lake 26A","IRI","158","157","0.6","47","46","2.2","46","43","7.0","24.12","6.6","4,015","502"
"Rainy River","T","752","807","-6.8","398","434","-8.3","366","360","1.7","3.12","241.4","2,438","387"
"Rainy River, Unorganized 4","NO","1,423","1,380r","3.1","1,662","2,046r","-18.8","572","591r","-3.2","12,163.33","0.1","1,718","331"
"Saug-A-Gaw-Sing 1","IRI","136","98","38.8","52","44","18.2","44","40","10.0","0.68","200.9","4,116","513"
"Seine River 23A","IRI","270","263","2.7","90","90","0.0","85","88","-3.4","15.72","17.2","3,612","473"
