,"Population and dwelling counts (13)","Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Total private dwellings, 2021","Total private dwellings, 2016","Total private dwellings percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021","National population rank, 2021","Province/territory population rank, 2021"
"Sturgeon Falls 23 4","IRI","10","5r","100.0","2","2r","0.0","2","2r","0.0","26.43","0.4","4,722","547"
"Admaston/Bromley","TP","2,995","2,935","2.0","1,305","1,288","1.3","1,136","1,084","4.8","519.59","5.8","1,050","277"
"Arnprior","T","9,629","8,795","9.5","4,458","4,124","8.1","4,308","3,912","10.1","13.04","738.5","442","156"
"Bonnechere Valley","TP","3,898","3,674","6.1","2,320","2,317","0.1","1,739","1,619","7.4","588.36","6.6","877","255"
"Brudenell, Lyndoch and Raglan","TP","1,552","1,503","3.3","998","963","3.6","694","653","6.3","701.29","2.2","1,635","322"
"Deep River","T","4,175","4,109","1.6","1,981","1,957","1.2","1,866","1,823","2.4","50.27","83.0","831","245"
"Greater Madawaska","TP","2,864","2,518","13.7","2,251","2,170","3.7","1,343","1,178","14.0","1,018.15","2.8","1,084","281"
"Head, Clara and Maria","TP","267","248","7.7","133","110","20.9","116","108","7.4","719.20","0.4","3,621","475"
"Horton","TP","3,182","2,887","10.2","1,486","1,385","7.3","1,290","1,173","10.0","158.02","20.1","1,002","270"
"Killaloe, Hagarty and Richards","TP","2,410","2,420","-0.4","1,559","1,689","-7.7","1,097","1,063","3.2","391.60","6.2","1,221","299"
"Laurentian Hills","T","2,885","2,961","-2.6","1,393","1,387","0.4","1,251","1,253","-0.2","634.31","4.5","1,076","279"
"Laurentian Valley","TP","9,450","9,387","0.7","3,877","3,877","0.0","3,715","3,717","-0.1","539.08","17.5","450","159"
"Madawaska Valley","TP","3,927","4,123","-4.8","2,541","2,619","-3.0","1,713","1,706","0.4","665.83","5.9","867","253"
"McNab/Braeside","TP","7,591","7,178","5.8","3,235","3,125","3.5","3,036","2,884","5.3","255.28","29.7","538","187"
"North Algona Wilberforce","TP","3,111","2,915","6.7","1,757","1,752","0.3","1,297","1,243","4.3","369.23","8.4","1,017","274"
"Pembroke","CY","14,364","13,882","3.5","6,888","6,685","3.0","6,542","6,198","5.6","14.32","1,002.8","302","112"
"Petawawa","T","18,160","17,187","5.7","7,174","6,747","6.3","6,762","6,334","6.8","164.70","110.3","252","96"
"Pikwakanagan (Golden Lake 39)","IRI","490","440","11.4","191","214","-10.7","184","181","1.7","7.38","66.4","2,964","431"
"Renfrew","T","8,190","8,223","-0.4","4,117","4,035","2.0","3,954","3,875","2.0","12.81","639.3","504","173"
"Whitewater Region","TP","7,225","7,009","3.1","3,470","3,416","1.6","2,909","2,775","4.8","535.48","13.5","572","199"
"Adjala-Tosorontio","TP","10,989","10,975","0.1","3,995","3,974","0.5","3,836","3,834","0.1","371.53","29.6","398","141"
"Barrie","CY","147,829","141,434","4.5","57,276","54,227","5.6","55,316","52,476","5.4","99.01","1,493.1","35","16"
"Bradford West Gwillimbury","T","42,880","35,325","21.4","13,907","11,918","16.7","13,415","11,591","15.7","200.68","213.7","121","51"
"Chippewas of Rama First Nation","IRI","998","878","13.7","408","381","7.1","377","352","7.1","11.15","89.5","2,110","357"
"Christian Island 30","IRI","679","614","10.6","524","457","14.7","221","217","1.8","51.91","13.1","2,563","398"
"Christian Island 30A","IRI","30","42","-28.6","14","14","0.0","13","14","-7.1","0.07","424.3","4,592","540"
"Clearview","TP","14,814","14,151","4.7","6,296","6,040","4.2","5,570","5,335","4.4","556.37","26.6","292","107"
"Collingwood","T","24,811","21,793","13.8","13,216","11,617","13.8","11,174","9,556","16.9","33.15","748.3","181","71"
"Essa","TP","22,970","21,083","9.0","8,232","7,478","10.1","7,949","7,179","10.7","279.92","82.1","195","77"
"Innisfil","T","43,326","36,566","18.5","17,528","14,875","17.8","15,708","13,364","17.5","262.39","165.1","119","50"
"Midland","T","17,817","16,864","5.7","8,295","7,739","7.2","7,849","7,374","6.4","35.33","504.3","259","99"
"New Tecumseth","T","43,948","34,242","28.3","16,249","13,191","23.2","15,854","12,906","22.8","273.87","160.5","118","49"
"Orillia","CY","33,411","31,166","7.2","15,428","14,287","8.0","14,422","13,477","7.0","28.53","1,171.1","144","57"
"Oro-Medonte","TP","23,017","21,036","9.4","9,510","9,013","5.5","8,636","7,989","8.1","585.42","39.3","193","76"
"Penetanguishene","T","10,077","8,962","12.4","4,357","3,990","9.2","3,976","3,679","8.1","25.42","396.4","426","149"
"Ramara","TP","10,377","9,488","9.4","6,166","6,028","2.3","4,408","4,032","9.3","414.94","25.0","417","146"
"Severn 4","TP","14,576","13,462r","8.3","7,073","6,916r","2.3","5,804","5,430r","6.9","523.06","27.9","299","111"
"Springwater","TP","21,701","19,059","13.9","7,845","7,234","8.4","7,516","6,694","12.3","535.85","40.5","206","80"
"Tay 4","TP","11,091","10,033r","10.5","5,301","4,929r","7.5","4,535","4,127r","9.9","137.86","80.5","392","138"
"Tiny","TP","12,966","11,787","10.0","9,699","9,712","-0.1","5,434","4,899","10.9","335.05","38.7","337","123"
"Wasaga Beach","T","24,862","20,675","20.3","13,768","12,516","10.0","10,811","9,005","20.1","57.42","433.0","180","70"
"Akwesasne (Part) 59 3 5","IRI","..","1,693r","..","..","849r","..","..","532r","..","11.81","..","..",".."
"Cornwall","CY","47,845","46,589","2.7","22,214","21,659","2.6","21,386","20,931","2.2","61.50","777.9","109","45"
"North Dundas","TP","11,304","11,278","0.2","4,673","4,642","0.7","4,537","4,481","1.2","502.41","22.5","382","135"
"North Glengarry","TP","10,144","10,109","0.3","4,714","4,658","1.2","4,422","4,316","2.5","643.40","15.8","422","148"
"North Stormont","TP","7,400","6,873","7.7","2,949","2,717","8.5","2,853","2,630","8.5","515.46","14.4","558","195"
"South Dundas 4","MU","11,044","10,852r","1.8","4,821","4,841r","-0.4","4,651","4,565r","1.9","521.54","21.2","394","140"
"South Glengarry","TP","13,330","13,150","1.4","5,848","5,823","0.4","5,431","5,300","2.5","605.02","22.0","328","120"
"South Stormont","TP","13,570","13,110","3.5","5,583","5,277","5.8","5,412","5,151","5.1","447.71","30.3","324","118"
"Baldwin 5","TP","579","605r","-4.3","326","269r","21.2","238","251r","-5.2","82.49","7.0","2,752","414"
"Chapleau","TP","1,942","1,964","-1.1","973","1,022","-4.8","867","869","-0.2","13.20","147.1","1,409","309"
"Chapleau 74A","IRI","17","21","-19.0","13","11","18.2","8","8","0.0","7.61","2.2","4,683","542"
"Chapleau 75","IRI","0","0","...","0","0","...","0","0","...","1.17","0.0","4,831","555"
"Chapleau Cree Fox Lake 4","IRI","62","47r","31.9","34","26r","30.8","28","19r","47.4","9.25","6.7","4,448","535"
"Duck Lake 76B","IRI","154","85","81.2","64","38","68.4","51","33","54.5","1.86","82.9","4,039","506"
"Espanola 5","T","5,185","5,048r","2.7","2,450","2,377r","3.1","2,304","2,215r","4.0","81.00","64.0","713","227"
"French River / Rivière des Français","M","2,828","2,662","6.2","2,098","2,108","-0.5","1,367","1,220","12.0","717.91","3.9","1,091","282"
"Killarney","MU","397","386","2.8","443","388","14.2","193","178","8.4","1,469.40","0.3","3,189","448"
"Markstay-Warren","MU","2,708","2,656","2.0","1,199","1,276","-6.0","1,109","1,111","-0.2","505.92","5.4","1,128","287"
"Mattagami 71","IRI","210","190","10.5","89","87","2.3","81","73","11.0","46.43","4.5","3,836","491"
"Nairn and Hyman","TP","373","342","9.1","215","190","13.2","162","138","17.4","159.18","2.3","3,265","453"
"Point Grondine 3 4","IRI","5","0r","...","4","0r","...","1","0r","...","138.55","0.0","4,760","548"
"Sables-Spanish Rivers 5","TP","3,237","3,188r","1.5","1,718","1,666r","3.1","1,386","1,312r","5.6","801.04","4.0","991","268"
"St.-Charles","MU","1,357","1,269","6.9","788","818","-3.7","621","573","8.4","314.46","4.3","1,769","334"
"Sudbury, Unorganized, North Part 5","NO","2,902","2,697r","7.6","2,837","2,041r","39.0","1,367","1,241r","10.2","35,377.17","0.1","1,065","278"
"Whitefish Lake 6","IRI","412","386","6.7","202","240","-15.8","132","134","-1.5","170.16","2.4","3,140","442"
"Aroland","S-É","178","366","-51.4","58","111","-47.7","57","108","-47.2","3.34","53.3","3,939","498"
"Conmee","TP","798","819","-2.6","317","327","-3.1","296","298","-0.7","167.65","4.8","2,374","379"
"Dorion","TP","375","316","18.7","176","174","1.1","160","128","25.0","211.25","1.8","3,260","452"
"Fort William 52 4","IRI","964","981r","-1.7","391","375r","4.3","361","343r","5.2","58.50","16.5","2,155","366"
"Gillies","TP","441","474","-7.0","208","201","3.5","186","185","0.5","92.68","4.8","3,071","438"
"Ginoogaming First Nation","IRI","200","210","-4.8","65","64","1.6","62","62","0.0","68.65","2.9","3,866","493"
"Greenstone 4","MU","4,309","4,636r","-7.1","2,449","2,588r","-5.4","1,920","2,038r","-5.8","2,727.04","1.6","814","243"
"Gull River 55","IRI","110","247","-55.5","90","102","-11.8","60","79","-24.1","39.77","2.8","4,214","523"
"Lac des Mille Lacs 22A1","IRI","0","0","...","0","0","...","0","0","...","17.32","0.0","4,831","555"
"Lake Helen 53A","IRI","240","293","-18.1","97","107","-9.3","91","105","-13.3","0.86","277.8","3,720","483"
"Lake Nipigon","IRI","0","0","...","0","0","...","0","0","...","12.89","0.0","4,831","555"
"Long Lake 58","IRI","410","385","6.5","127","112","13.4","123","111","10.8","2.75","149.0","3,151","443"
"Manitouwadge","TP","1,974","1,937","1.9","1,059","1,082","-2.1","920","894","2.9","352.17","5.6","1,394","307"
"Marathon","T","3,138","3,273","-4.1","1,602","1,643","-2.5","1,412","1,445","-2.3","167.03","18.8","1,007","271"
"Neebing 4","MU","2,241","2,055r","9.1","1,205","1,164r","3.5","942","840r","12.1","873.78","2.6","1,284","302"
"Nipigon","TP","1,473","1,642","-10.3","747","804","-7.1","663","721","-8.0","107.94","13.6","1,683","327"
"O'Connor","TP","689","663","3.9","283","272","4.0","274","262","4.6","108.56","6.3","2,544","396"
"Ojibway Nation of Saugeen (Savant Lake)","IRI","88","90","-2.2","37","38","-2.6","28","27","3.7","57.06","1.5","4,314","531"
"Oliver Paipoonge","MU","6,035","5,922","1.9","2,390","2,289","4.4","2,323","2,239","3.8","350.51","17.2","646","215"
"Osnaburgh 63A","IRI","233","232","0.4","57","49","16.3","48","48","0.0","47.48","4.9","3,735","485"
"Pays Plat 51","IRI","100","89","12.4","37","35","5.7","36","34","5.9","2.03","49.3","4,252","527"
"Pic Mobert North","IRI","138","197","-29.9","61","66","-7.6","54","62","-12.9","1.67","82.5","4,109","511"
"Pic Mobert South","IRI","127","125","1.6","57","53","7.5","48","51","-5.9","0.32","401.6","4,139","516"
"Pic River 50","IRI","372","443","-16.0","164","177","-7.3","141","166","-15.1","4.03","92.3","3,272","455"
"Red Rock","TP","895","895","0.0","455","444","2.5","407","381","6.8","62.10","14.4","2,251","375"
"Red Rock 53 4","IRI","0","5r","-100.0","15","8r","87.5","0","2r","-100.0","2.24","0.0","4,831","555"
"Rocky Bay 1","IRI","154","184","-16.3","72","68","5.9","52","64","-18.8","0.26","592.8","4,039","506"
"Sand Point First Nation 4","IRI","5","0r","...","29","4r","625.0","4","0r","...","10.71","0.5","4,760","548"
"Schreiber","TP","1,039","1,059","-1.9","612","628","-2.5","516","500","3.2","35.81","29.0","2,064","352"
"Shuniah","MU","3,247","2,798","16.0","2,088","2,130","-2.0","1,425","1,196","19.1","571.34","5.7","988","267"
"Terrace Bay","TP","1,528","1,611","-5.2","793","821","-3.4","713","743","-4.0","151.50","10.1","1,647","323"
"Thunder Bay","CY","108,843","107,909","0.9","50,995","50,388","1.2","48,405","47,182","2.6","327.77","332.1","51","25"
"Thunder Bay, Unorganized 4","NO","6,221","5,867r","6.0","5,671","6,122r","-7.4","2,784","2,587r","7.6","96,255.92","0.1","630","212"
"Whitesand","IRI","297","325","-8.6","103","105","-1.9","90","98","-8.2","2.56","116.2","3,519","471"
"Armstrong","TP","1,199","1,166","2.8","523","521","0.4","502","491","2.2","90.16","13.3","1,898","342"
"Brethour 5","TP","105","124r","-15.3","48","54r","-11.1","38","47r","-19.1","81.97","1.3","4,229","524"
"Casey","TP","341","368","-7.3","140","150","-6.7","127","138","-8.0","80.80","4.2","3,378","462"
"Chamberlain","TP","311","332","-6.3","145","165","-12.1","132","145","-9.0","110.81","2.8","3,475","467"
"Charlton and Dack","MU","686","686","0.0","280","266","5.3","261","245","6.5","92.74","7.4","2,552","397"
"Cobalt","T","989","1,128","-12.3","542","624","-13.1","454","530","-14.3","2.07","478.5","2,121","358"
"Coleman","TP","517","595","-13.1","295","338","-12.7","236","255","-7.5","177.95","2.9","2,896","427"
"Englehart","T","1,442","1,479","-2.5","720","711","1.3","684","691","-1.0","2.92","494.2","1,702","329"
"Evanturel","TP","502","449","11.8","203","201","1.0","193","181","6.6","89.21","5.6","2,938","429"
"Gauthier","TP","151","138","9.4","73","79","-7.6","68","62","9.7","87.98","1.7","4,053","509"
"Harley","TP","524","551","-4.9","200","216","-7.4","187","209","-10.5","92.34","5.7","2,883","425"
"Harris","TP","530","545","-2.8","217","233","-6.9","205","216","-5.1","49.81","10.6","2,870","423"
"Hilliard 5","TP","215","207r","3.9","93","89r","4.5","87","85r","2.4","91.27","2.4","3,810","489"
"Hudson","TP","530","503","5.4","325","280","16.1","213","205","3.9","90.28","5.9","2,870","423"
"James","TP","348","420","-17.1","224","240","-6.7","181","207","-12.6","85.40","4.1","3,355","461"
"Kerns","TP","330","358","-7.8","129","133","-3.0","121","129","-6.2","90.66","3.6","3,415","464"
"Kirkland Lake","T","7,750","7,981","-2.9","4,353","4,466","-2.5","3,775","3,814","-1.0","261.29","29.7","529","182"
"Larder Lake","TP","745","730","2.1","440","466","-5.6","352","351","0.3","227.62","3.3","2,447","389"
"Latchford","T","355","313","13.4","206","227","-9.3","169","150","12.7","152.26","2.3","3,328","458"
"Matachewan","TP","268","225","19.1","202","166","21.7","134","110","21.8","539.56","0.5","3,618","474"
"Matachewan 72","IRI","66","61","8.2","35","29","20.7","29","24","20.8","33.09","2.0","4,423","533"
"McGarry","TP","579","609","-4.9","333","345","-3.5","289","294","-1.7","85.62","6.8","2,752","414"
"Temiskaming Shores","CY","9,634","9,920","-2.9","4,539","4,673","-2.9","4,263","4,379","-2.6","176.67","54.5","441","155"
"Thornloe","VL","92","112","-17.9","53","47","12.8","48","44","9.1","6.59","14.0","4,295","530"
"Timiskaming, Unorganized, East Part","NO","5","5","0.0","38","100","-62.0","4","3","33.3","248.55","0.0","4,760","548"
"Timiskaming, Unorganized, West Part","NO","3,210","3,257","-1.4","1,934","2,053","-5.8","1,380","1,396","-1.1","10,199.80","0.3","996","269"
"Toronto","C","2,794,356","2,731,571","2.3","1,253,238","1,179,057","6.3","1,160,892","1,112,929","4.3","631.10","4,427.8","1","1"
"Cambridge","CY","138,479","129,920","6.6","53,013","49,388","7.3","51,269","48,239","6.3","112.99","1,225.5","41","19"
"Kitchener","CY","256,885","233,222","10.1","103,388","95,495","8.3","99,812","92,217","8.2","136.81","1,877.6","20","9"
"North Dumfries","TP","10,619","10,215","4.0","3,768","3,564","5.7","3,689","3,531","4.5","188.09","56.5","409","144"
"Waterloo","CY","121,436","104,986","15.7","52,049","46,096","12.9","47,040","40,381","16.5","64.06","1,895.8","47","24"
"Wellesley","TP","11,318","11,260","0.5","3,444","3,403","1.2","3,366","3,337","0.9","277.74","40.8","381","134"
"Wilmot","TP","21,429","20,545","4.3","8,035","7,612","5.6","7,891","7,516","5.0","263.81","81.2","211","84"
"Woolwich","TP","26,999","25,006","8.0","9,556","8,741","9.3","9,359","8,611","8.7","326.56","82.7","171","66"
"Centre Wellington","TP","31,093","28,191","10.3","12,701","11,499","10.5","11,972","10,823","10.6","409.41","75.9","154","61"
"Erin","T","11,981","11,439","4.7","4,396","4,258","3.2","4,220","4,108","2.7","298.81","40.1","359","130"
"Guelph","CY","143,740","131,794","9.1","59,746","55,927","6.8","56,480","52,090","8.4","87.43","1,644.1","38","17"
"Guelph/Eramosa","TP","13,904","12,854","8.2","4,993","4,604","8.4","4,838","4,485","7.9","292.84","47.5","313","114"
"Mapleton","TP","10,839","10,527","3.0","3,633","3,556","2.2","3,245","3,141","3.3","535.56","20.2","404","143"
"Minto","T","9,094","8,671","4.9","3,885","3,370","15.3","3,417","3,247","5.2","300.19","30.3","461","165"
"Puslinch","TP","7,944","7,336","8.3","2,946","2,793","5.5","2,857","2,705","5.6","214.82","37.0","517","177"
"Wellington North","TP","12,431","11,914","4.3","4,987","4,839","3.1","4,793","4,682","2.4","526.31","23.6","347","127"
"Aurora","T","62,057","55,445","11.9","22,253","19,381","14.8","21,506","18,851","14.1","50.00","1,241.1","92","39"
"Chippewas of Georgina Island First Nation","IRI","231","261","-11.5","550","565","-2.7","112","118","-5.1","14.47","16.0","3,745","486"
"East Gwillimbury","T","34,637","23,991","44.4","11,869","8,279","43.4","11,449","8,077","41.7","244.91","141.4","138","56"
"Georgina","T","47,642","45,418","4.9","19,368","18,687","3.6","17,895","16,821","6.4","287.69","165.6","111","46"
"King","TP","27,333","24,512","11.5","9,346","8,736","7.0","8,969","8,144","10.1","332.12","82.3","168","65"
"Markham","CY","338,503","328,966","2.9","114,908","106,131","8.3","110,867","102,676","8.0","210.93","1,604.8","16","7"
"Newmarket","T","87,942","84,224","4.4","31,239","29,315","6.6","30,301","28,673","5.7","38.50","2,284.1","70","31"
"Richmond Hill","T","202,022","195,022","3.6","72,017","66,465","8.4","69,314","64,116","8.1","100.79","2,004.4","27","12"
"Vaughan","CY","323,103","306,233","5.5","107,159","96,657","10.9","103,914","94,253","10.3","272.44","1,185.9","17","8"
"Whitchurch-Stouffville","T","49,864","45,837","8.8","17,154","15,712","9.2","16,707","15,355","8.8","206.42","241.6","104","43"

Symbol legend:
.., not available for a specific reference period
..., not applicable
r, revised


Abbreviation notes:

List of abbreviations and acronyms found within various Census products.
(https://www12.statcan.gc.ca/census-recensement/2021/ref/symb-ab-acr-eng.cfm)



Footnotes:
1,"<p><strong>Content considerations</strong></p>  <p>The 2021 Census population counts for a particular geographic area represent the number of Canadians whose usual place of residence is in that area, regardless of where they happened to be on Census Day. Also included are any Canadians who were staying in that area on Census Day and who had no usual place of residence elsewhere in Canada, as well as those considered to be non-permanent residents. For most areas, there is little difference between the number of usual residents and the number of people staying in the area on Census Day. For certain places, however, such as tourist or vacation areas, or those including large work camps, the number of people staying in that area at any particular time could significantly exceed the number of usual residents shown here. The population counts include Canadians living in other countries, but do not include foreign residents living in Canada. Given these differences, users are advised not to interpret population counts as being the number of people living in the reported dwellings.</p>  <p>The dwelling counts refer to total private dwellings and private dwellings occupied by usual residents in Canada. The census dwelling counts do not include collective dwellings, which are dwellings of a commercial, institutional or communal nature. The usual residents in collective dwellings are, however, included in the population counts.</p>  <p>Changes occur to the names, boundaries and other characteristics of geographic areas (e.g., census subdivisions may amalgamate, or there may be an annexation or a change of name or status). Since the geographic framework is used for census data collection, the geographic reference date must be set several months before the date of the census in order to have these changes made in time. For the 2021 Census, the geographic reference date was January 1, 2021.</p>  <p>Land area is the area in square kilometres of the land-based portions of standard geographic areas. The data are unofficial, and are provided for the sole purpose of calculating population density. Land area data for the standard geographic areas reflect the boundaries in effect on January 1, 2021 (the geographic reference date for the 2021 Census of Canada).</p>  <p><strong>Definitions</strong></p>  <p>The Census Dictionary is a reference document which contains detailed definitions of Census of Population concepts, universes, variables, and geographic terms, as well as historical information.</p> <p><strong>Incompletely enumerated reserves and settlements</strong></p><p>In 2021, a total of 63 census subdivisions defined as reserves and settlements were incompletely enumerated. For these reserves and settlements, dwelling enumeration was either not permitted or could not be completed because of the various reasons below.</p><p>This represents an increase compared with the 14 census subdivisions defined as reserves and settlements that were incompletely enumerated in the 2016 Census. Health and safety restrictions put in place to slow the spread of COVID-19 and natural events (including evacuations because of forest fires) contributed to the incomplete enumeration of many reserves and settlements.</p><p>The 2021 Census population and dwelling counts are not available for the 63 incompletely enumerated reserves and settlements, and are not included in 2021 Census tabulations. Data for geographic areas containing one or more of these reserves and settlements are noted accordingly. Because of the missing data, users are cautioned that—for the affected geographic areas—comparisons (e.g., percentage change) between 2016 and 2021 may not be precise. The impact of the missing data for higher-level geographic areas (Canada, provinces and territories, census metropolitan areas and census agglomerations) is usually very/ small. However, the impact can be significant for lower-level geographic areas (e.g., census divisions), where incompletely enumerated reserves and settlements account for a higher proportion of the population. This is especially true for lower-level geographic areas where a particular reserve or settlement was incompletely enumerated for the 2021 Census but enumerated for the 2016 Census and, vice versa.</p>  <p><strong>Adjustment of population counts</strong></p>  <p>Statistics Canada is committed to protect the privacy of all Canadians and the confidentiality of the data they provide to us. As part of this commitment, some population counts of geographic areas are adjusted in order to ensure confidentiality.</p>  <p>Counts of the total population are rounded to a base of 5 for any dissemination block having a population of less than 15. Population counts for all standard geographic areas above the dissemination block level are derived by summing the adjusted dissemination block counts. The adjustment of dissemination block counts is controlled to ensure that the population counts for dissemination areas will always be within 5 of the actual values. The adjustment has no impact on the population counts of census divisions and large census subdivisions. Dwelling counts are not adjusted.</p>  <p><strong>Difference between census counts and population estimates</strong></p>  <p>The Census of Population is designed to conduct a complete count of the population. Inevitably, however, some individuals will not be enumerated (undercoverage), while others, usually less numerous, will be enumerated more than once (overcoverage).</p>  <p>To determine the number of people who were missed or counted more than once, Statistics Canada conducts postcensal studies of the coverage of the census population, using representative samples of the population. Results of these studies are usually available two years after Census Day. They are used, in combination with census figures and other sources, to develop the population estimates produced by Statistics Canada on a regular basis. Population estimates are used for equalization payments, to follow trends in the Canadian population on a quarterly basis and to understand the underlying components of population change (for example, births, deaths, immigrants, emigrants and non-permanent residents). Population estimates differ from census counts and are usually higher, because census counts are not adjusted for undercoverage or overcoverage.</p>"
2,"Excludes census data for one or more incompletely enumerated reserves or settlements."
3,"Incompletely enumerated reserve or settlement."
4,"This geographic area underwent a boundary change since the 2016 Census that resulted in an adjustment to the 2016 population and/or dwelling counts for this area."
5,"This geographic area underwent a formal review in 2016. The 2016 population and/or dwelling counts have been revised to account for coverage errors and/or the reallocation of population and dwelling counts for this area."



"How to cite: Statistics Canada. Table 98-10-0002-02  Population and dwelling counts: Canada, provinces and territories, and census subdivisions (municipalities)"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810000202